source_filename,Agreement Name,Agreement Type,Agreement Date,Agreement Date Conformed,Party1 Name,Party1 Role,Party2 Name,Party2 Role,Term,Term Conformed,Renewal Term,Renewal Term Conformed, Recurring Monthly Charges , Nonrecurring Charges ,Connection Services,Professional Services,Equipment,Locations,Contract Type,Agreement_Name,Agreement_Type,Agreement_Date,Agreement_Date_Conformed,Party1_Name,Party1_Role,Party2_Name,Party2_Role,Term_Conformed,Renewal_Term,Renewal_Term_Conformed,Recurring_Monthly_Charges,Nonrecurring_Charges,Connection_Services,Professional_Services,Notes,Amendment,CA_Number,Pilot BTN,descriptive_text,Document Title,Contact Names,Clauses,Provider,Customer,Amendments,Comments,Additional Notes,Changes
"10541592403755_Encore Rehab Spectrum coax # 314  Long Rapids Road Therapy Gym Alpena, MI.pdf",Spectrum Business Business Cable Order,Order,17-Dec-18,12/17/2018,Spectrum Business,Provider,DCI for Encore Rehab at Medilodge,Customer,0 Years,0,,, $74.98 ,,['Business Cable'],[],[],"['301 LONG RAPIDS RD\nALPENA, MI 49707-1317']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592402338_Encore rehab spectrum coax #314 cheboygan, MI.pdf",Spectrum Business Cable Order,Order,17-Dec-18,12/17/2018,Telarus,Provider,DCI FOR ENCORE REHAB AT MEDILODGE,Customer,0 Years,0,,, $74.98 ,,['Business Cable'],[],[],"['824 S HURON ST CHEBOYGAN, MI 49721-2210']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592402728_Encore Rehab Spectrum coax #314 Hospital Dr Therapy Gym Class City, MI.pdf",Spectrum Business Cable Order,Order,17-Dec-18,12/17/2018,Spectrum Business,Provider,DCI FOR ENCORE REHAB AT MEDILODGE,Customer,0 Years,0,,, $74.98 ,,['Business Cable'],[],[],"['4782 HOSPITAL DR CASS CITY, MI 48726-1049']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592403295_Encore Rehab Spectrum Coax #314 Golf Course Road Therapy Gym Alpena, MI.pdf",Spectrum Business Business Cable Order,Order,17-Dec-18,12/17/2018,Spectrum Business,Provider,DCI for Encore Rehab at Medilodge,Customer,0 Years,0,,, $74.98 ,,['Business Cable'],[],[],"['1234 GOLF COURSE RD\nALPENA, MI 49707-1222']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592404642_Encore Rehab Spectrum coax # 316 Drake Rd Therapy Gym Kalamazoo, MI.pdf",Spectrum Business Business Cable Order,Order,17-Dec-18,12/17/2018,Spectrum Business,Provider,DCI FOR ENCORE REHAB AT MEDILODGE,Customer,0 Years,0,,, $74.98 ,,['Business Cable'],[],[],"['2575 N DRAKE RD\nKALAMAZOO, MI 49006-1358']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592331284_Encore Rehab spectrum coax # 430 Lexington, KY.pdf",T4WO-12040 Spectrum Business Business Cable Order Created for DCI FOR ENCORE REHABILITATION,Order,"Tuesday, June 16, 2020",6/16/2020,Spectrum Business,Provider,DCI FOR ENCORE REHABILITATION,Customer,0 Years,0,,, $74.98 ,,['Business Cable'],[],[],"['1500 TRENT BLVD THERAPY GYM LEXINGTON, ΚΥ 40515-1900']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592406873_Encore Rehab Spectrum Coax # 330 Warrensburg Rd Therapy Gym Delaware, OH.pdf",Spectrum Business Business Cable Order 280027,Order,"Wednesday, June 17, 2020",6/17/2020,Spectrum Business,Provider,DCI FOR ENCORE REHAB @ARBORS AT DELAWARE,Customer,0 Years,0,,, $74.98 ,,['BUSINESS CABLE 100x10M with 1 Static IP'],[],[],"['2270 WARRENSBURG RD THERAPY GYM DELAWARE, OH 43015-1336', '1700 Union Ave Suite B Baltimore MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592404876_Encore Rehab Spectrum Coax # 316 Currier Drive Therapy Gym Portage, MI.pdf",Spectrum Business Cable Order for DCI for Encore Rehab at Medilodge,Order,17-Dec-18,12/17/2018,Telarus,Provider,DCI FOR ENCORE REHAB AT MEDILODGE,Customer,0 Years,0,,, $74.98 ,,['Spectrum Business Business Cable'],[],[],"['7855 CURRIER DR PORTAGE, ΜΙ 49002-4314']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592407163_Encore Rehab Spectrum Coax # 330 W Main Street Therapy Gym West Jefferson, OH.pdf",Spectrum Business Business Cable Order 280026,Order,"Wednesday, June 17, 2020",6/17/2020,Spectrum Business,Provider,DCI FOR ENCORE REHAB @ ARBORS WEST,Customer,0 Years,0,,, $74.98 ,,['BUSINESS CABLE 100x10M with 1 Static IP'],[],[],"['375 W MAIN ST THERAPY GYM W JEFFERSON, OH 43162-1298', '1700 Union Ave Suite B Baltimore MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592407586_Encore Rehab Spectrum Coax # 360 Carolyn Court Therapy Gym Office Minerva, OH .pdf",Spectrum Business Business Cable Order 280581,Order,6-Dec-18,12/6/2018,Telarus,Provider,DCI for Encore Rehab,Customer,0 Years,0,,, $74.98 ,,['BUSINESS CABLE 100x10M with 1 Static IP'],[],[],"['400 CAROLYN CT THERAPY GYM OFFICE MINERVA, OH 44657-8703', '1700 Union Ave Suite B Baltimore MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
